fecha,solidos_a2,malla_a2
2023-10-10 15:51:27,43.0,27.0
2023-10-10 12:06:04,42.0,29.0
2023-10-10 08:25:22,42.0,28.0
2023-10-10 05:53:51,45.0,30.0
2023-10-10 03:38:44,46.0,28.0
2023-10-10 01:07:39,38.0,15.0
2023-10-09 23:22:20,39.0,21.0
2023-10-09 20:31:06,42.0,25.0
2023-10-09 16:59:33,37.0,26.0
2023-10-09 15:57:44,37.0,25.0
2023-10-09 14:39:51,41.0,28.0
2023-10-09 12:00:04,37.0,25.0
2023-10-09 10:03:49,41.0,29.0
2023-10-09 08:04:00,42.0,28.0
2023-10-09 05:18:40,40.0,23.0
2023-10-09 01:54:09,46.0,29.0
2023-10-08 23:40:09,42.0,28.0
2023-10-08 17:58:02,42.0,26.0
2023-10-08 15:56:42,44.0,29.0
2023-10-08 14:16:20,42.0,28.0
2023-10-08 12:08:56,41.0,27.0
2023-10-08 10:57:19,38.0,28.0
2023-10-08 08:09:30,42.0,29.0
2023-10-08 05:41:04,41.0,25.0
2023-10-08 03:49:46,42.0,30.0
2023-10-08 01:58:21,44.0,28.0
2023-10-07 22:01:00,45.0,30.0
2023-10-07 19:52:07,44.0,29.0
2023-10-07 17:55:35,42.0,26.0
2023-10-07 16:09:55,42.0,31.0
2023-10-07 14:22:51,42.0,30.0
2023-10-07 12:36:45,41.0,26.0
2023-10-07 07:53:48,42.0,27.0
2023-10-07 06:25:22,35.0,27.0
2023-10-07 01:50:23,42.0,28.0
2023-10-06 23:56:11,44.0,31.0
2023-10-06 22:24:14,36.0,23.0
2023-10-06 21:05:30,43.0,32.0
2023-10-06 18:29:06,38.0,32.0
2023-10-06 14:20:00,40.0,29.0
2023-10-06 11:44:03,42.0,30.0
2023-10-06 10:26:08,35.0,26.0
2023-10-06 08:11:39,37.0,29.0
2023-10-06 04:57:47,38.0,27.0
2023-10-06 03:32:59,39.0,26.0
2023-10-06 01:25:18,38.0,26.0
2023-10-05 21:16:27,36.0,26.0
2023-10-05 18:10:00,38.0,26.0
2023-10-05 16:08:31,40.0,28.0
2023-10-05 14:05:02,39.0,29.0
2023-10-05 11:42:57,35.0,26.0
2023-10-05 10:01:28,35.0,27.0
2023-10-05 08:12:11,35.0,26.0
2023-10-05 06:40:08,36.0,26.0
2023-10-05 01:49:06,36.0,27.0
2023-10-04 22:01:57,35.0,25.0
2023-10-04 20:14:44,0.35,27.0
2023-10-04 17:56:12,37.0,27.0
2023-10-04 17:00:26,38.0,28.0
2023-10-04 11:59:50,39.0,27.0
2023-10-04 10:03:58,40.0,28.0
2023-10-04 08:10:03,42.0,29.0
2023-10-04 06:35:48,40.0,29.0
2023-10-04 04:22:06,40.0,28.0
2023-10-04 02:30:44,44.0,33.0
2023-10-04 02:28:55,43.0,31.0
2023-10-03 23:05:17,41.0,30.0
2023-10-03 21:57:14,45.0,32.0
2023-10-03 05:28:09,45.0,33.0
2023-10-03 01:01:39,42.0,32.0
2023-10-02 22:37:41,41.0,29.0
2023-10-02 20:26:10,43.0,32.0
2023-10-02 10:35:53,42.0,29.0
2023-10-02 08:08:48,46.0,31.0
2023-10-02 06:32:57,43.0,31.0
2023-10-02 04:21:54,44.0,32.0
2023-10-02 01:48:25,38.0,34.0
2023-10-02 00:13:24,44.0,34.0
2023-10-01 20:39:18,44.0,33.0
2023-10-01 06:25:16,47.0,34.0
2023-10-01 04:42:35,44.0,34.0
2023-10-01 01:13:34,45.0,33.0
2023-09-30 22:28:56,42.0,30.0
2023-09-30 20:03:50,43.0,31.0
2023-09-30 08:33:19,47.0,37.0
2023-09-30 06:05:40,45.0,32.0
2023-09-30 04:03:42,46.0,34.0
