Timestamp,AREA,PROCESO,% SOLIDOS,MALLA 65#,COMENTARIOS,USUARIO,Timestamp
2023-01-09 04:49:00,A0,-,42.0,33,,Lorne Ortiz,2023-01-09 04:49:00
2023-01-09 04:59:00,BM19,-,42.0,31,,Lorne Ortiz,2023-01-09 04:59:00
2023-01-09 08:03:00,A2,-,45.0,35,,José Ledesma Espinoza,2023-01-09 08:03:00
2023-01-09 08:08:00,A1,-,40.0,31,,José Ledesma Espinoza,2023-01-09 08:08:00
2023-01-09 08:15:00,A0,-,38.0,32,,José Ledesma Espinoza,2023-01-09 08:15:00
2023-01-09 09:38:00,A1,-,41.0,37,,José Ledesma Espinoza,2023-01-09 09:38:00
2023-01-09 10:08:00,A2,-,47.0,38,,José Ledesma Espinoza,2023-01-09 10:08:00
2023-01-09 11:02:00,A2,-,43.0,35,,José Ledesma Espinoza,2023-01-09 11:02:00
2023-01-09 11:22:00,A0,-,40.0,33,,José Ledesma Espinoza,2023-01-09 11:22:00
2023-01-09 12:09:00,A2,-,39.0,29,,José Ledesma Espinoza,2023-01-09 12:09:00
2023-01-09 13:08:00,A2,-,47.0,38,,José Ledesma Espinoza,2023-01-09 13:08:00
2023-01-09 13:18:00,A0,-,36.0,27,,José Ledesma Espinoza,2023-01-09 13:18:00
2023-01-09 14:02:00,A2,-,44.0,33,,José Ledesma Espinoza,2023-01-09 14:02:00
2023-01-09 14:35:00,A1,-,40.0,32,,José Ledesma Espinoza,2023-01-09 14:35:00
2023-01-09 14:39:00,A0,-,40.0,33,,José Ledesma Espinoza,2023-01-09 14:39:00
2023-01-09 16:14:00,A2,-,45.0,35,,José Ledesma Espinoza,2023-01-09 16:14:00
2023-01-09 16:19:00,A0,-,36.0,31,,José Ledesma Espinoza,2023-01-09 16:19:00
2023-01-09 16:31:00,A1,-,43.0,38,,José Ledesma Espinoza,2023-01-09 16:31:00
2023-01-09 17:13:00,A0,-,41.0,34,,José Ledesma Espinoza,2023-01-09 17:13:00
2023-01-09 17:16:00,A1,-,41.0,31,,José Ledesma Espinoza,2023-01-09 17:16:00
2023-01-09 18:15:00,A1,-,42.0,34,,José Ledesma Espinoza,2023-01-09 18:15:00
2023-01-09 18:36:00,A2,-,43.0,36,,José Ledesma Espinoza,2023-01-09 18:36:00
2023-01-09 20:15:00,A1,-,43.0,34,,Lorne Ortiz,2023-01-09 20:15:00
2023-01-09 20:16:00,A2,-,40.0,32,,Lorne Ortiz,2023-01-09 20:16:00
2023-01-09 20:25:00,A1,-,39.0,31,,Lorne Ortiz,2023-01-09 20:25:00
2023-01-09 21:24:00,A1,-,39.0,32,,Lorne Ortiz,2023-01-09 21:24:00
2023-01-09 22:21:00,A0,-,42.0,33,,Lorne Ortiz,2023-01-09 22:21:00
2023-01-09 22:33:00,A1,-,39.0,30,,Lorne Ortiz,2023-01-09 22:33:00
2023-01-09 22:34:00,A0,-,39.0,31,,Lorne Ortiz,2023-01-09 22:34:00
2023-01-10 00:19:00,A2,-,42.0,36,,Lorne Ortiz,2023-01-10 00:19:00
2023-01-10 01:52:00,A0,-,40.0,29,,Lorne Ortiz,2023-01-10 01:52:00
2023-01-10 02:02:00,A1,-,39.0,30,,Lorne Ortiz,2023-01-10 02:02:00
2023-01-10 04:21:00,A1,-,38.0,29,,Lorne Ortiz,2023-01-10 04:21:00
2023-01-10 07:51:00,A0,-,35.0,27,,José Ledesma Espinoza,2023-01-10 07:51:00
2023-01-10 07:53:00,A1,-,38.0,27,,José Ledesma Espinoza,2023-01-10 07:53:00
2023-01-10 08:09:00,A2,-,33.0,18,Preparando SAG 17 para mantención general.,José Ledesma Espinoza,2023-01-10 08:09:00
2023-01-10 09:31:00,A1,-,41.0,31,,José Ledesma Espinoza,2023-01-10 09:31:00
2023-01-10 09:50:00,A0,-,39.0,29,,José Ledesma Espinoza,2023-01-10 09:50:00
2023-01-10 10:14:00,A2,-,36.0,26,,José Ledesma Espinoza,2023-01-10 10:14:00
2023-01-10 11:22:00,A0,-,39.0,29,,José Ledesma Espinoza,2023-01-10 11:22:00
2023-01-10 11:23:00,A1,-,39.0,29,,José Ledesma Espinoza,2023-01-10 11:23:00
2023-01-10 12:36:00,A2,-,39.0,26,,José Ledesma Espinoza,2023-01-10 12:36:00
2023-01-10 12:39:00,A1,-,38.0,25,,José Ledesma Espinoza,2023-01-10 12:39:00
2023-01-10 13:12:00,A0,-,39.0,29,,José Ledesma Espinoza,2023-01-10 13:12:00
2023-01-10 14:11:00,A0,-,42.0,34,,José Ledesma Espinoza,2023-01-10 14:11:00
2023-01-10 14:25:00,A2,-,35.0,23,Normalización de tonelaje por trabajos el cajón alimentador de Flot.A2.,José Ledesma Espinoza,2023-01-10 14:25:00
2023-01-10 14:31:00,A1,-,38.0,27,,José Ledesma Espinoza,2023-01-10 14:31:00
2023-01-10 16:20:00,A0,-,32.0,25,,José Ledesma Espinoza,2023-01-10 16:20:00
2023-01-10 17:11:00,A1,-,42.0,32,,José Ledesma Espinoza,2023-01-10 17:11:00
2023-01-10 18:18:00,A2,-,35.0,20,,José Ledesma Espinoza,2023-01-10 18:18:00
2023-01-10 18:22:00,A0,-,35.0,30,,José Ledesma Espinoza,2023-01-10 18:22:00
2023-01-10 20:14:00,A2,-,41.0,33,,Lorne Ortiz,2023-01-10 20:14:00
2023-01-10 20:47:00,A1,-,40.0,32,,Lorne Ortiz,2023-01-10 20:47:00
2023-01-10 21:26:00,A2,-,35.0,25,,Lorne Ortiz,2023-01-10 21:26:00
2023-01-10 23:05:00,A1,-,41.0,32,,Lorne Ortiz,2023-01-10 23:05:00
2023-01-10 23:17:00,A2,-,40.0,31,,Lorne Ortiz,2023-01-10 23:17:00
